mesh_output,strategy,families,source_images
models/doors/door_standard.glb,shared_hinged_mesh,door_standard,doors/standard/door_standard_reference.png | doors/standard/door_standard_closed.png | doors/standard/door_standard_open.png
models/doors/door_standard_damaged.glb,variant_mesh_or_damage_overlay,door_standard,doors/standard/door_standard_damaged.png
models/doors/door_standard_destroyed.glb,variant_mesh,door_standard,doors/standard/door_standard_destroyed.png
models/storage/vault_chest.glb,shared_hinged_mesh,vault_chest,storage/vault_chest/vault_chest_reference.png | storage/vault_chest/vault_chest_closed_full.png | storage/vault_chest/vault_chest_open_empty.png | storage/vault_chest/vault_chest_closed_empty.png | storage/vault_chest/vault_chest_open_full.png
models/storage/vault_chest_destroyed.glb,variant_mesh,vault_chest,storage/vault_chest/vault_chest_destroyed.png
models/traps/trap_spines.glb,animated_mesh,trap_spines,traps/spines/trap_spines_reference.png | traps/spines/trap_spines_armed.png | traps/spines/trap_spines_triggered.png
models/core/core_healthy.glb,static_mesh_plus_vfx,core,core/core_reference.png | core/core_healthy.png
models/traps/trap_spines_broken.glb,variant_mesh,trap_spines,traps/spines/trap_spines_broken.png
models/core/core_damaged.glb,variant_mesh_plus_vfx,core,core/core_damaged.png
models/core/core_critical.glb,variant_mesh_plus_vfx,core,core/core_critical.png
models/core/core_destroyed.glb,variant_mesh_plus_vfx,core,core/core_destroyed.png
models/traps/trap_grasp.glb,animated_mesh,trap_grasp,traps/grasp/trap_grasp_reference.png | traps/grasp/trap_grasp_hidden.png | traps/grasp/trap_grasp_active.png
models/traps/trap_grasp_broken.glb,variant_mesh,trap_grasp,traps/grasp/trap_grasp_broken.png
models/traps/trap_void.glb,animated_mesh,trap_void,traps/void/trap_void_reference.png | traps/void/trap_void_inactive.png | traps/void/trap_void_active.png
models/traps/trap_void_collapsed.glb,variant_mesh,trap_void,traps/void/trap_void_collapsed.png
models/traps/trap_watcher.glb,animated_mesh,trap_watcher,traps/watcher/trap_watcher_reference.png | traps/watcher/trap_watcher_idle.png | traps/watcher/trap_watcher_alert.png | traps/watcher/trap_watcher_firing.png
models/traps/trap_watcher_destroyed.glb,variant_mesh,trap_watcher,traps/watcher/trap_watcher_destroyed.png
models/traps/pit/trap_pit.glb,animated_mesh,trap_pit,traps/future/pit/trap_pit_reference.png | traps/future/pit/trap_pit_closed.png | traps/future/pit/trap_pit_open.png
models/traps/pit/trap_pit_broken.glb,variant_mesh,trap_pit,traps/future/pit/trap_pit_broken.png
models/traps/boulder/trap_boulder.glb,animated_mesh,trap_boulder,traps/future/boulder/trap_boulder_reference.png | traps/future/boulder/trap_boulder_ready.png | traps/future/boulder/trap_boulder_rolling.png
models/traps/boulder/trap_boulder_broken.glb,variant_mesh,trap_boulder,traps/future/boulder/trap_boulder_broken.png
models/traps/arrow/trap_arrow.glb,animated_mesh,trap_arrow,traps/future/arrow/trap_arrow_reference.png | traps/future/arrow/trap_arrow_retracted.png | traps/future/arrow/trap_arrow_firing.png
models/traps/arrow/trap_arrow_broken.glb,variant_mesh,trap_arrow,traps/future/arrow/trap_arrow_broken.png
models/traps/flame/trap_flame.glb,animated_mesh,trap_flame,traps/future/flame/trap_flame_reference.png | traps/future/flame/trap_flame_inactive.png | traps/future/flame/trap_flame_active.png
models/traps/flame/trap_flame_broken.glb,variant_mesh,trap_flame,traps/future/flame/trap_flame_broken.png
models/traps/ice/trap_ice.glb,animated_mesh,trap_ice,traps/future/ice/trap_ice_reference.png | traps/future/ice/trap_ice_inactive.png | traps/future/ice/trap_ice_active.png
models/traps/ice/trap_ice_broken.glb,variant_mesh,trap_ice,traps/future/ice/trap_ice_broken.png
models/traps/acid/trap_acid.glb,animated_mesh,trap_acid,traps/future/acid/trap_acid_reference.png | traps/future/acid/trap_acid_inactive.png | traps/future/acid/trap_acid_active.png
models/traps/acid/trap_acid_broken.glb,variant_mesh,trap_acid,traps/future/acid/trap_acid_broken.png
models/doors/door_reinforced.glb,shared_hinged_mesh,door_reinforced,doors/reinforced/door_reinforced_reference.png | doors/reinforced/door_reinforced_closed.png | doors/reinforced/door_reinforced_open.png
models/doors/door_reinforced_damaged.glb,variant_mesh,door_reinforced,doors/reinforced/door_reinforced_damaged.png
models/doors/door_reinforced_destroyed.glb,variant_mesh,door_reinforced,doors/reinforced/door_reinforced_destroyed.png
models/doors/door_locked.glb,shared_hinged_mesh,door_locked,doors/locked/door_locked_reference.png | doors/locked/door_locked_closed.png | doors/locked/door_locked_open.png
models/doors/door_locked_damaged.glb,variant_mesh,door_locked,doors/locked/door_locked_damaged.png
models/doors/door_locked_destroyed.glb,variant_mesh,door_locked,doors/locked/door_locked_destroyed.png
models/doors/door_trapped.glb,shared_hinged_mesh,door_trapped,doors/trapped/door_trapped_reference.png | doors/trapped/door_trapped_closed.png | doors/trapped/door_trapped_open.png
